NCAA Name,Team Code,Org,Org-Division,Team Name (standardized),Nickname ,logo,Hex value (Team Colors)
Marist,386,NCAA,Division 1,Marist, Red Foxes,MRST.png,#210203 #FFFFFF #EF1216
St. Peter's,617,NCAA,Division 1,St. Peter's, Peacocks,SPC.png,#FFFFFF #30C808 #004CC2
Akron,5,NCAA,Division 1,Akron, Zips,AKR.png,#FFFFFF #C29C41 #000E41
Ball State,47,NCAA,Division 1,Ball State, Cardinals,BALL.png,#000000 #FFFFFF #DA0000
Bowling Green,71,NCAA,Division 1,Bowling Green, Falcons,BGSU.png,#FFFFFF #F5793F #4E2400
Buffalo,86,NCAA,Division 1,Buffalo, Bulls,BUFF.png,#000000 #FFFFFF #0068B4
Central Michigan,129,NCAA,Division 1,Central Michigan, Chippewas,CMU.png,#E2A253 #FFFFFF #780006
Eastern Michigan,204,NCAA,Division 1,Eastern Michigan, Eagles,EMU.png,#7F7F7F #FFFFFF #0B5F24
Kent State,331,NCAA,Division 1,Kent State, Golden Flashes,KENT.png,#FFFFFF #F7BD0A #131149
Miami (Ohio),414,NCAA,Division 1,Miami (Ohio), RedHawks,M-OH.png,#3F7D91 #FFFFFF #080808 #C60808
Northern Illinois,503,NCAA,Division 1,Northern Illinois, Huskies,NIU.png,#FFFFFF #0F0D0D #F1122C
Ohio,519,NCAA,Division 1,Ohio, Bobcats,OHIO.png,#313139 #E7CEAD #FFFFFF #295A29
Toledo,709,NCAA,Division 1,Toledo, Rockets,TOL.png,#FFFFFF #FFD51D #00488F
Western Michigan,774,NCAA,Division 1,Western Michigan, Broncos,WMU.png,#1D1B1B #B59966 #FFFFFF #7E3E09
Bethune-Cookman,61,NCAA,Division 1,Bethune-Cookman, Wildcats,COOK.png,#FEB65F #FFFFFF #841B35
Delaware State,178,NCAA,Division 1,Delaware State, Hornets,DSU.png,#261511 #FFFFFF #01A9EF #F11A2D
Florida A&M,228,NCAA,Division 1,Florida A&M, Rattlers,FAMU.png,#FFFFFF #00B552 #F89728
Hampton,270,NCAA,Division 1,Hampton, Pirates,HAMP.png,#E5B67D #FFFFFF #0067AC
Howard,290,NCAA,Division 1,Howard, Bison,HOW.png,#FFFFFF #09347A #EE3A43
Morgan State,446,NCAA,Division 1,Morgan State, Bears,MORG.png,#231F20 #FFFFFF #F47937 #014786
Norfolk State,485,NCAA,Division 1,Norfolk State, Spartans,NORF.png,#F1C409 #FFFFFF #046546
North Carolina A&T,488,NCAA,Division 1,North Carolina A&T, Aggies,NCAT.png,#FFFF63 #FFFFFF #0505AA
South Carolina State,647,NCAA,Division 1,South Carolina State, Bulldogs,SCST.png,#FFFFFF #050305 #080D35 #7E1812
Eastern Illinois,201,NCAA,Division 1,Eastern Illinois, Panthers,EIU.png,#0675D0 #FFFFFF #000000
Eastern Kentucky,202,NCAA,Division 1,Eastern Kentucky, Colonels,EKY.png,#A7AAAB #FFFFFF #730B27
Jacksonville State,315,NCAA,Division 1,Jacksonville State, Gamecocks,JVST.png,#1D1819 #FFFFFF #E53F40
Murray State,454,NCAA,Division 1,Murray State, Racers,MURR.png,#FFFFFF #FFE000 #002148
Samford,625,NCAA,Division 1,Samford, Bulldogs,SAM.png,#FFFFFF #C72D30 #D2D4D5 #005485
Southeast Missouri State,654,NCAA,Division 1,Southeast Missouri State, Redhawks,SEMO.png,#FFFFFF #231F20 #E2373E
Tennessee State,691,NCAA,Division 1,Tennessee State, Tigers,TNST.png,#060607 #FFFFFF #383C84
Tennessee Tech,692,NCAA,Division 1,Tennessee Tech, Golden Eagles,TNTC.png,#FFFFFF #FFDE00 #5A4099
Tennessee-Martin,695,NCAA,Division 1,Tennessee-Martin, Skyhawks,UTM.png,#FFFFFF #000099 #FF6700
Arizona State,28,NCAA,Division 1,Arizona State, Sun Devils,ASU.png,#FFFFFF #FEC927 #96203D
Arizona,29,NCAA,Division 1,Arizona, Wildcats,ARIZ.png,#FFFFFF #BB003A #003559
California,107,NCAA,Division 1,California, Golden Bears,CAL.png,#FFFFFF #FFDE30 #003768
UCLA,110,NCAA,Division 1,UCLA, Bruins,UCLA.png,#FFFFFF #000000 #FFB325 #005C8E
Colorado,157,NCAA,Division 1,Colorado, Buffaloes,COLO.png,#FFFFFF #231F20 #D9C994
Oregon State,528,NCAA,Division 1,Oregon State, Beavers,ORST.png,#FFFFFF #AE3800 #000203
Oregon,529,NCAA,Division 1,Oregon, Ducks,ORE.png,#FFFFFF #F4E600 #044520
USC,657,NCAA,Division 1,USC, Trojans,USC.png,#FFFFFF #FFAC33 #AE2531
Stanford,674,NCAA,Division 1,Stanford, Cardinal,STAN.png,#FFFFFF #A80532
Utah,732,NCAA,Division 1,Utah, Utes,UTAH.png,#FFFFFF #231F20 #CD1041
Washington State,754,NCAA,Division 1,Washington State, Cougars,WSU.png,#FFFFFF #97002F
Washington,756,NCAA,Division 1,Washington, Huskies,WASH.png,#FFFFFF #E8D4A3 #2B2F64
Alabama,8,NCAA,Division 1,Alabama, Crimson Tide,ALA.png,#CACCCE #FFFFFF #A80532
Arkansas,31,NCAA,Division 1,Arkansas, Razorbacks,ARK.png,#FFFFFF #231F20 #CD1041
Auburn,37,NCAA,Division 1,Auburn, Tigers,AUB.png,#FFFFFF #FE3300 #172240
Florida,235,NCAA,Division 1,Florida, Gators,FLA.png,#39734A #FFFFFF #FF4208 #2139CE
Georgia,257,NCAA,Division 1,Georgia, Southern Eagles,GASO.png,#9DB7C4 #9B8348 #FFFFFF #003775
Kentucky,334,NCAA,Division 1,Kentucky, Wildcats,UK.png,#EBEBE4 #FFFFFF #003399
LSU,365,NCAA,Division 1,LSU, Tigers,LSU.png,#FFFFFF #FDB827 #33297B
Mississippi State,430,NCAA,Division 1,Mississippi State, Bulldogs,MSST.png,#FFFFFF #D1D5D8 #762123
Mississippi,433,NCAA,Division 1,Mississippi, Rebels,MISS.png,#FFFFFF #FF002C #002C91
Missouri,434,NCAA,Division 1,Missouri, Tigers,MIZZ.png,#FFFFFF #E8AF11 #231F20
South Carolina,648,NCAA,Division 1,South Carolina, Gamecocks,SCAR.png,#FFFFFF #000000 #CD0000
Tennessee,694,NCAA,Division 1,Tennessee, Volunteers,TENN.png,#FFFFFF #EE9627
Texas A&M,697,NCAA,Division 1,Texas A&M, Aggies,TA&M.png,#FFFFFF #5C0025
Vanderbilt,736,NCAA,Division 1,Vanderbilt, Commodores,VAN.png,#FFFFFF #BB8D09 #000000
Citadel,141,NCAA,Division 1,Citadel, Bulldogs,CIT.png,#FFFFFF #002B5C
Furman,244,NCAA,Division 1,Furman, Paladins,FUR.png,#FFFFFF #3A1769
Chattanooga,693,NCAA,Division 1,Chattanooga, Mocs,CHAT.png,#FFFFFF #00437B #EEB311
Western Carolina,769,NCAA,Division 1,Western Carolina, Catamounts,WCU.png,#CFAB7A #FFFFFF #492F91
Elon,1068,NCAA,Division 1,Elon, Phoenix,ELON.png,#FFFFFF #9E0152 #AEA460 #040404
Wofford,2915,NCAA,Division 1,Wofford, Terriers,WOF.png,#FFFFFF #FFD700 #000000
McNeese State,402,NCAA,Division 1,McNeese State, Cowboys,MCNS.png,#FFFFFF #00529C #FFD51D
Nicholls State,483,NCAA,Division 1,Nicholls State,Colonels,NICH.png, #231F20 #FFFFFF #C41230
Northwestern State,508,NCAA,Division 1,Northwestern State, Demons,NWST.png,#FFFFFF #F68428 #492F91
Sam Houston State,624,NCAA,Division 1,Sam Houston State, Bearkats,SHSU.png,#FFFFFF #231F20 #F78F1E
Southeastern Louisiana,655,NCAA,Division 1,Southeastern Louisiana, Lions,SELA.png,#FFFFFF #231F20 #F0B510 #007550
Stephen F. Austin,676,NCAA,Division 1,Stephen F. Austin, Lumberjacks,SFA.png,#FFFFFF #EE3A42 #393996
Alabama A&M,6,NCAA,Division 1,Alabama A&M, Bulldogs,AAMU.png,#FFFFFF #750000
Alabama St.,7,NCAA,Division 1,Alabama St., Bulldogs,AAMU.png,#FFFFFF #750000
Alcorn St.,17,NCAA,Division 1,Alcorn St., Great Danes,ALBY.png,#FFFFFF #FCBB0D #3D2777
Grambling,261,NCAA,Division 1,Grambling, Bulldogs,GONZ.png,#FFFFFF #DC272A #2D2161
Jackson State,314,NCAA,Division 1,Jackson State, Tigers,JKST.png,#FFFFFF #123297
Mississippi Valley State,432,NCAA,Division 1,Mississippi Valley State, Delta Devils,MVSU.png,#FFFFFF #054105
Prairie View A&M,553,NCAA,Division 1,Prairie View A&M, Panthers,PV.png,#FFFFFF #181821 #FFBD29 #5A185C
Southern University,665,NCAA,Division 1,Southern University, Jaguars,SOU.png,#FFFFFF #FFCD02 #004B97
Texas Southern,699,NCAA,Division 1,Texas Southern, Tigers,TXSO.png,#FFFFFF #6A0403
Arkansas-Pine Bluff,2678,NCAA,Division 1,Arkansas-Pine Bluff, Trojans,UALR.png,#000000 #FFFFFF #AD0000
Boise State,66,NCAA,Division 1,Boise State, Broncos,BSU.png,#FFFFFF #F27E34 #2D4492
Fresno State,96,NCAA,Division 1,Fresno State, Bulldogs,FRES.png,#FFFFFF #E32F38 #00427A
Hawai'i,277,NCAA,Division 1,Hawai'i,Crimson,HAW.png,#FFFFFF #000000 #004231
Louisiana Tech,366,NCAA,Division 1,Louisiana Tech, Bulldogs,LT.png,#FFFFFF #ED1C24 #006AB5
Nevada,466,NCAA,Division 1,Nevada, Wolf Pack,NEV.png,#FFFFFF #153E5F
San Jose State,630,NCAA,Division 1,San Jose State, Spartans,SJSU.png,#FFFFFF #FFC021 #005893
Utah State,731,NCAA,Division 1,Utah State, Aggies,USU.png,#000000 #FFFFFF #003263
BYU,77,NCAA,Division 1,BYU, Bulldogs,BUT.png,#000000 #FFFFFF #0D1361
Colorado State,156,NCAA,Division 1,Colorado State, Rams,CSU.png,#F8E793 #000000 #FFFFFF #008C75
UNLV,465,NCAA,Division 1,UNLV, Rebels,UNLV.png,#FFFFFF #D50026 #231E1F
New Mexico,473,NCAA,Division 1,New Mexico, Lobos,UNM.png,#C4C4C4 #FFFFFF #D41045 #000000
San Diego State,626,NCAA,Division 1,San Diego State, Aztecs,SDSU.png,#FFFFFF #7C6642 #BF2C37 #231F20
Air Force,721,NCAA,Division 1,Air Force, Falcons,AFA.png,#FFFFFF #0061AA
Wyoming,811,NCAA,Division 1,Wyoming, Cowboys,WYO.png,#FFFFFF #000000 #533B22
Austin Peay,43,NCAA,Division 1,Austin Peay, Governors,PEAY.png,#FFFFFF #8E0B0B
Butler,87,NCAA,Division 1,Butler, Bulldogs,BUT.png,#000000 #FFFFFF #0D1361
Davidson,173,NCAA,Division 1,Davidson, Wildcats,DAV.png,#FFFFFF #E51937 #000000
Dayton,175,NCAA,Division 1,Dayton, Flyers,DAY.png,#FFFFFF #E70808 #151A66
Drake,189,NCAA,Division 1,Drake, Bulldogs,DRKE.png,#B4B6B8 #FFFFFF #0053A0
Jacksonville,316,NCAA,Division 1,Jacksonville, Dolphins,JAC.png,#8B8B8B #000000 #FFFFFF #008568
Morehead State,444,NCAA,Division 1,Morehead State, Eagles,MORE.png,#040204 #FFD51D #FFFFFF #094FA3
San Diego,627,NCAA,Division 1,San Diego, Toreros,USD.png,#FFFFFF #00275D #2F99D4
Valparaiso,735,NCAA,Division 1,Valparaiso, Crusaders,VALP.png,#FFFFFF #FFD204 #794500
UAB,9,NCAA,Division 1,UAB, Blazers,UAB.png,#E7BD05 #FFFFFF #040504 #054338
UCF,128,NCAA,Division 1,UCF, Knights,UCF.png,#FFFFFF #B4985A #231F20
East Carolina,196,NCAA,Division 1,East Carolina, Pirates,ECU.png,#000000 #FFFFFF #FFCE28 #4A1F68
Houston,288,NCAA,Division 1,Houston, Cougars,HOU.png,#FFFFFF #012259 #C90822
Marshall,388,NCAA,Division 1,Marshall, Thundering Herd,MRSH.png,#000000 #FFFFFF #01592F
Memphis,404,NCAA,Division 1,Memphis, Tigers,MEM.png,#FEC003 #FFFFFF #2A2A9B
Rice,574,NCAA,Division 1,Rice, Owls,RICE.png,#FFFFFF #003D7D
SMU,663,NCAA,Division 1,SMU, Cougars,SIUE.png,#FFFFFF #000004 #BC9B6A #674B20
Southern Mississippi,664,NCAA,Division 1,Southern Mississippi, Eagles,USM.png,#FFFFFF #201C1D #FFAA3C
UTEP,704,NCAA,Division 1,UTEP, Miners,UTEP.png,#C2BFBC #FFFFFF #F9783B #002843
Tulane,718,NCAA,Division 1,Tulane, Green Wave,TULN.png,#00A6EB #6EA396 #FFFFFF #005837
Tulsa,719,NCAA,Division 1,Tulsa, Golden Hurricane,TLSA.png,#000000 #E21721 #FFFFFF #004371
Baylor,51,NCAA,Division 1,Baylor, Bears,BAY.png,#FFFFFF #FFC227 #008649
Iowa State,311,NCAA,Division 1,Iowa State, Cyclones,ISU.png,#FFFFFF #FEC938 #840A2C
Kansas State,327,NCAA,Division 1,Kansas State, Wildcats,KSU.png,#FFFFFF #633194
