2015-2016,2015,Conference Championship,Mountain West Championship,,05/12/2015,San Diego St.,626,Air Force,721
2015-2016,2015,Conference Championship,PAC 12 Championship,,05/12/2015,Stanford,674,Southern California,657
2015-2016,2015,Conference Championship,SEC Championship,,05/12/2015,Alabama,8,Florida,235
2015-2016,2015,CFP Semi-Final,CFP Semi-Final,Orange Bowl,31/12/2015,Clemson,147,Oklahoma,522
2015-2016,2015,CFP Semi-Final,CFP Semi-Final,Cotton Bowl,31/12/2015,Alabama,8,Michigan St.,416
2015-2016,2015,CFP National Championship,CFP National Championship,,11/01/2016,Clemson,147,Alabama,8
2016-2017,2016,Conference Championship,American Athletic Championship,,03/12/2016,Temple,690,Navy,726
2016-2017,2016,Conference Championship,ACC Championship,,03/12/2016,Clemson,147,Virginia Tech,742
2016-2017,2016,Conference Championship,BIG 10 Championship,,03/12/2016,Penn St.,539,Wisconsin,796
2016-2017,2016,Conference Championship,CUSA Championship,,03/12/2016,Western Ky.,772,Louisiana Tech,366
2016-2017,2016,Conference Championship,MAC Championship,,02/12/2016,Western Mich.,774,Ohio,519
2016-2017,2016,Conference Championship,Mountain West Championship,,03/12/2016,San Diego St.,626,Wyoming,811
2016-2017,2016,Conference Championship,PAC 12 Championship,,02/12/2016,Washington,756,Colorado,157
2016-2017,2016,Conference Championship,SEC Championship,,03/12/2016,Alabama,8,Florida,235
2016-2017,2016,CFP Semi-Final,CFP Semi-Final,Peach Bowl,31/12/2016,Alabama,8,Washington,756
2016-2017,2016,CFP Semi-Final,CFP Semi-Final,Fiesta Bowl,31/12/2016,Clemson,147,Ohio St.,518
2016-2017,2016,CFP National Championship,CFP National Championship,CFP National Championship,09/01/2017,Alabama,8,Clemson,147
2017-2018,2017,Conference Championship,American Athletic Championship,,02/12/2017,UCF,128,Memphis,404
2017-2018,2017,Conference Championship,ACC Championship,,02/12/2017,Clemson,147,Miami (FL),415
2017-2018,2017,Conference Championship,BIG 10 Championship,,02/12/2017,Ohio St.,518,Wisconsin,796
2017-2018,2017,Conference Championship,BIG 12 Championship,,02/12/2017,Oklahoma,522,TCU,698
2017-2018,2017,Conference Championship,CUSA Championship,,02/12/2017,Fla. Atlantic,229,North Texas,497
2017-2018,2017,Conference Championship,MAC Championship,,02/12/2017,Toledo,709,Akron,5
2017-2018,2017,Conference Championship,Mountain West Championship,,02/12/2017,Boise St.,66,Fresno St.,96
2017-2018,2017,Conference Championship,PAC 12 Championship,,01/12/2017,Southern California,657,Stanford,674
2017-2018,2017,Conference Championship,SEC Championship,,02/12/2017,Georgia,257,Auburn,37
2017-2018,2017,CFP Semi-Final,CFP Semi-Final,Sugar Bowl,01/01/2017,Clemson,147,Alabama,8
2017-2018,2017,CFP Semi-Final,CFP Semi-Final,Rose Bowl,01/01/2017,Oklahoma,522,Georgia,257
2017-2018,2017,CFP National Championship,CFP National Championship,CFP National Championship,08/01/2018,Alabama,8,Georgia,257
2018-2019,2018,Conference Championship,MAC Championship,,30/11/2018,TBD,TBD,TBD,TBD
2018-2019,2018,Conference Championship,PAC 12 Championship,,30/11/2018,TBD,TBD,TBD,TBD
2018-2019,2018,Conference Championship,SEC Championship,,01/12/2018,TBD,TBD,TBD,TBD
2018-2019,2018,Conference Championship,BIG 10 Championship,,01/12/2018,TBD,TBD,TBD,TBD
2018-2019,2018,Conference Championship,ACC Championship,,01/12/2018,TBD,TBD,TBD,TBD
2018-2019,2018,Conference Championship,American Athletic Championship,,01/12/2018,TBD,TBD,TBD,TBD
2018-2019,2018,Conference Championship,BIG 12 Championship,,01/12/2018,TBD,TBD,TBD,TBD
2018-2019,2018,Conference Championship,CUSA Championship,,01/12/2018,TBD,TBD,TBD,TBD
2018-2019,2018,Conference Championship,Mountain West Championship,,01/12/2018,TBD,TBD,TBD,TBD
2018-2019,2018,CFP Semi-Final,CFP Semi-Final,Cotton Bowl,29/12/2018,TBD,TBD,TBD,TBD
2018-2019,2018,CFP Semi-Final,CFP Semi-Final,Orange Bowl,29/12/2018,TBD,TBD,TBD,TBD
2018-2019,2018,CFP National Championship,CFP National Championship,CFP National Championship,07/01/2018,TBD,TBD,TBD,TBD
