---1996
Date	Bowl	Winner	Pts	Loser	Pts	Notes
2018-01-01		Outback Bowl	South Carolina	26	Michigan	19	Raymond James Stadium - Tampa, Florida	
2018-01-01		Peach Bowl	Central Florida	34	Auburn	27	Mercedes-Benz Stadium - Atlanta, Georgia	
2018-01-01		Rose Bowl	Georgia	54	Oklahoma	48	Rose Bowl - Pasadena, California	
2018-01-01		Sugar Bowl	Alabama	24	Clemson	6	Mercedes-Benz Superdome - New Orleans, Louisiana	
2017-12-30		Fiesta Bowl	Penn State	35	Washington	28	University of Phoenix Stadium - Glendale, Arizona	
2017-12-30		Liberty Bowl	Iowa State	21	Memphis	20	Liberty Bowl Memorial Stadium - Memphis, Tennessee	
2017-12-30		Orange Bowl	Wisconsin	34	Miami (FL)	24	Hard Rock Stadium - Miami Gardens, Florida	
2017-12-30		TaxSlayer Bowl	Mississippi State	31	Louisville	27	EverBank Field - Jacksonville, Florida	
2017-12-29		Arizona Bowl	New Mexico State	26	Utah State	20	Arizona Stadium - Tucson, Arizona	
2017-12-29		Belk Bowl	Wake Forest	55	Texas A&M	52	Bank of America Stadium - Charlotte, North Carolina	
2017-12-29		Cotton Bowl	Ohio State	24	Southern California	7	AT&T Stadium - Arlington, Texas	
2017-12-29		Music City Bowl	Northwestern	24	Kentucky	23	Nissan Stadium - Nashville, Tennessee	
2017-12-29		Sun Bowl	North Carolina State	52	Arizona State	31	Sun Bowl - El Paso, Texas	
2017-12-28		Alamo Bowl	Texas Christian	39	Stanford	37	Alamodome - San Antonio, Texas	
2017-12-28		Camping World Bowl	Oklahoma State	30	Virginia Tech	21	Camping World Stadium - Orlando, Florida	
2017-12-28		Holiday Bowl	Michigan State	42	Washington State	17	SDCCU Stadium - San Diego, California	
2017-12-28		Military Bowl	Navy	49	Virginia	7	Navy-Marine Corps Memorial Stadium - Annapolis, Maryland	
2017-12-27		Foster Farms Bowl	Purdue	38	Arizona	35	Levi's Stadium - Santa Clara, California	
2017-12-27		Independence Bowl	Florida State	42	Southern Mississippi	13	Independence Stadium - Shreveport, Louisiana	
2017-12-27		Pinstripe Bowl	Iowa	27	Boston College	20	New Yankee Stadium - New York, New York	
2017-12-27		Texas Bowl	Texas	33	Missouri	16	NRG Stadium - Houston, Texas	
2017-12-26		Cactus Bowl	Kansas State	35	UCLA	17	Chase Field - Phoenix, Arizona	
2017-12-26		Heart of Dallas Bowl	Utah	30	West Virginia	14	Cotton Bowl - Dallas, Texas	
2017-12-26		Quick Lane Bowl	Duke	36	Northern Illinois	14	Ford Field - Detroit, Michigan	
2017-12-24		Hawaii Bowl	Fresno State	33	Houston	27	Aloha Stadium - Honolulu, Hawaii	
2017-12-23		Armed Forces Bowl	Army	42	San Diego State	35	Amon G. Carter Stadium - Fort Worth, Texas	
2017-12-23		Birmingham Bowl	South Florida	38	Texas Tech	34	Legion Field - Birmingham, Alabama	
2017-12-23		Dollar General Bowl	Appalachian State	34	Toledo	0	Ladd-Peebles Stadium - Mobile, Alabama	
2017-12-22		Bahamas Bowl	Ohio	41	Alabama-Birmingham	6	Thomas Robinson Stadium - Nassau, BHS	
2017-12-22		Famous Idaho Potato Bowl	Wyoming	37	Central Michigan	14	Albertsons Stadium - Boise, Idaho	
2017-12-21		Bad Boy Mowers Gasparilla Bowl	Temple	28	Florida International	3	Tropicana Field - St. Petersburg, Florida	
2017-12-20		Frisco Bowl	Louisiana Tech	51	Southern Methodist	10	Toyota Stadium - Frisco, Texas	
2017-12-19		Boca Raton Bowl	Florida Atlantic	50	Akron	3	FAU Football Stadium - Boca Raton, Florida	
2017-12-16		AutoNation Cure Bowl	Georgia State	27	Western Kentucky	17	Camping World Stadium - Orlando, Florida	
2017-12-16		Camellia Bowl	Middle Tennessee State	35	Arkansas State	30	Cramton Bowl - Montgomery, Alabama	
2017-12-16		Las Vegas Bowl	Boise State	38	Oregon	28	Sam Boyd Stadium - Las Vegas, Nevada	
2017-12-16		New Mexico Bowl	Marshall	31	Colorado State	28	Dreamstyle Stadium - Albuquerque, New Mexico	
2017-12-16		New Orleans Bowl	Troy	50	North Texas	30	Mercedes-Benz Superdome - New Orleans, Louisiana





















































