---1996
Date	Bowl	Winner	Pts	Loser	Pts	Notes
2008-01-02	Fiesta Bowl	West Virginia	48	Oklahoma	28	Glendale, AZ
2008-01-01	Capital One Bowl	Michigan	41	Florida	35	Orlando, FL
2008-01-01	Cotton Bowl	Missouri	38	Arkansas	7	Dallas, TX
2008-01-01	Gator Bowl	Texas Tech	31	Virginia	28	Jacksonville, FL
2008-01-01	Outback Bowl	Tennessee	21	Wisconsin	17	Tampa, FL
2008-01-01	Rose Bowl	Southern California	49	Illinois	17	Pasadena, CA
2008-01-01	Sugar Bowl	Georgia	41	Hawaii	10	New Orleans, LA
2007-12-31	Armed Forces Bowl	California	42	Air Force	36	Fort Worth, TX
2007-12-31	Chick-fil-A Bowl	Auburn	23	Clemson	20	Chick-Fil-A BowlAtlanta, GA
2007-12-31	Humanitarian Bowl	Fresno State	40	Georgia Tech	28	Boise, ID
2007-12-31	Insight Bowl	Oklahoma State	49	Indiana	33	Tempe, AZ
2007-12-31	Music City Bowl	Kentucky	35	Florida State	28	Nashville, TN
2007-12-31	Sun Bowl	Oregon	56	South Florida	21	El Paso, TX
2007-12-30	Independence Bowl	Alabama	30	Colorado	24	Shreveport, LA
2007-12-29	Alamo Bowl	Penn State	24	Texas A&M	17	San Antonio, TX
2007-12-29	Liberty Bowl	Mississippi State	10	Central Florida	3	Memphis, TN
2007-12-29	Meineke Car Care Bowl	Wake Forest	24	Connecticut	10	Charlotte, NC
2007-12-28	Champs Sports Bowl	Boston College	24	Michigan State	21	Orlando, FL
2007-12-28	Emerald Bowl	Oregon State	21	Maryland	14	San Francisco, CA
2007-12-28	Texas Bowl	Texas Christian	20	Houston	13	Houston, TX
2007-12-27	Holiday Bowl	Texas	52	Arizona State	34	San Diego, CA
2007-12-26	Motor City Bowl	Purdue	51	Central Michigan	48	Detroit, MI
2007-12-23	Hawaii Bowl	East Carolina	41	Boise State	38	Honolulu, HI
2007-12-22	Las Vegas Bowl	Brigham Young	17	UCLA	16	Las Vegas, NV
2007-12-22	New Mexico Bowl	New Mexico	23	Nevada	0	Albuquerque, NM
2007-12-22	PapaJohns.com Bowl	Cincinnati	31	Southern Mississippi	21	Birmingham, AL
2007-12-21	New Orleans Bowl	Florida Atlantic	44	Memphis	27	New Orleans, LA
2007-12-20	Poinsettia Bowl	Utah	35	Navy	32	San Diego, CA

---2008
2009-01-08	BCS Championship	Florida	24	Oklahoma	14	Miami, FL
2009-01-06	GMAC Bowl	Tulsa	45	Ball State	13	Mobile, AL
2009-01-05	Fiesta Bowl	Texas	24	Ohio State	21	Glendale, AZ
2009-01-03	International Bowl	Connecticut	38	Buffalo	20	Toronto, Canada
2009-01-02	Cotton Bowl	Mississippi	47	Texas Tech	34	Dallas, TX
2009-01-02	Liberty Bowl	Kentucky	25	East Carolina	19	Memphis, TN
2009-01-02	Sugar Bowl	Utah	31	Alabama	17	New Orleans, LA
2009-01-01	Capital One Bowl	Georgia	24	Michigan State	12	Orlando, FL
2009-01-01	Gator Bowl	Nebraska	26	Clemson	21	Jacksonville, FL
2009-01-01	Orange Bowl	Virginia Tech	20	Cincinnati	7	Miami, FL
2009-01-01	Outback Bowl	Iowa	31	South Carolina	10	Tampa, FL
2009-01-01	Rose Bowl	Southern California	38	Penn State	24	Pasadena, CA
2008-12-31	Armed Forces Bowl	Houston	34	Air Force	28	Fort Worth, TX
2008-12-31	Chick-fil-A Bowl	Louisiana State	38	Georgia Tech	3	Chick-Fil-A BowlAtlanta, GA
2008-12-31	Insight Bowl	Kansas	42	Minnesota	21	Glendale, AZ
2008-12-31	Music City Bowl	Vanderbilt	16	Boston College	14	Nashville, TN
2008-12-31	Sun Bowl	Oregon State	3	Pittsburgh	0	El Paso, TX
2008-12-30	Holiday Bowl	Oregon	42	Oklahoma State	31	San Diego, CA
2008-12-30	Humanitarian Bowl	Maryland	42	Nevada	35	Boise, ID
2008-12-30	Texas Bowl	Rice	38	Western Michigan	14	Houston, TX
2008-12-29	Alamo Bowl	Missouri	30	Northwestern	23	San Antonio, TX
2008-12-29	PapaJohns.com Bowl	Rutgers	29	North Carolina State	23	Birmingham, AL
2008-12-28	Independence Bowl	Louisiana Tech	17	Northern Illinois	10	Shreveport, LA
2008-12-27	Champs Sports Bowl	Florida State	42	Wisconsin	13	Orlando, FL
2008-12-27	Emerald Bowl	California	24	Miami (FL)	17	San Francisco, CA
2008-12-27	Meineke Car Care Bowl	West Virginia	31	North Carolina	30	Charlotte, NC
2008-12-26	Motor City Bowl	Florida Atlantic	24	Central Michigan	21	Detroit, MI
2008-12-24	Hawaii Bowl	Notre Dame	49	Hawaii	21	Honolulu, HI
2008-12-23	Poinsettia Bowl	Texas Christian	17	Boise State	16	San Diego, CA
2008-12-21	New Orleans Bowl	Southern Mississippi	30	Troy	27	New Orleans, LA
2008-12-20	EagleBank Bowl	Wake Forest	29	Navy	19	Washington, DC
2008-12-20	Las Vegas Bowl	Arizona	31	Brigham Young	21	Las Vegas, NV
